업체명,주소,위도,경도
우진레미콘(주),"경기 고양시 덕양구  흥도로 79 (도내동,(163-4외1필지))",37.61565,126.864937
영산콘크리트공업(주)광주공장,경기도 광주시 곤지암읍 신만로 119-26,37.337658,127.389309
건설기업(주),경기도 남양주시 순화궁로 628(별내동),37.679922,127.11172
유진기업(주),경기도 부천시 오정구 석천로 457(삼정동),37.527354,126.769252
연천레미콘 주식회사,경기도 연천군 청산면 순욱길 185,37.995969,127.101606
한양산업개발(주),경기도 양주시 광적면 그루고개로143번길 224,37.834404,126.992479
대신레미콘㈜,경기도 여주시 가남읍 대신리길 99-24,37.189232,127.538158
성진기업(주),경기도 화성시 양감면 서해로152번길 135,37.080101,126.92527
(주)부국레미콘,경기도 부천시 오정로 72(삼정동),37.525021,126.767835
덕원산업(주),경기도 평택시 산단로 87-20(모곡동),37.039274,127.080312
세화산업(주),"경기도 안산시 상록구 팔곡일동 502, 501-1",37.295576,126.893465
일진레미콘(주),경기도 양평군 양서면 경강로 1215,37.517443,127.420082
삼덕산업(주),경기도 평택시 세교산단로22번길 65(세교동),37.01186,127.084562
성진산업개발(주),경기도 안양시 동안구 엘에스로 79(호계동),37.369624,126.951043
(주)삼표산업 서부공장,경기도 고양시 덕양구 흥도로 113(도내동),37.616317,126.861937
(주)도현레미콘,경기도 안성시 보개면 보삼로 80,37.102046,127.319651
주식회사 토암콘크리트,경기도 여주시 가남읍 월평로 563-32,37.252391,127.569738
금진레미콘(주),경기도 연천군 전곡읍 간파리 167,37.953334,127.009254
현대레미콘(주),경기도 안성시 원곡면 매지로 46-15,37.07327,127.137251
주식회사 건설레미콘 의정부공장,경기도 포천시 화합로 107(동교동),37.841126,127.124994
성진콘크리트공업(주),경기도 화성시 장지동길 58(장지동),37.146567,127.123363
주식회사 케이씨레미컨,경기도 여주시 가남읍 가남로 465,37.201064,127.592181
(주)정선기업,경기도 김포시 대곶면 대명항로 496,37.647117,126.56588
(주)동양/건재부문 김포공장,경기도 김포시 월곶면 김포대로 2822,37.716526,126.543604
효신개발(주),경기도 파주시 광탄면 부흥로169번길 180,37.808156,126.874629
쌍용레미콘(주)의왕사업소,경기도 의왕시 경수대로 307(고천동),37.353181,126.969541
(주)삼표산업 오산공장,경기도 화성시 양감면 토성로 574-8,37.106904,126.978931
미화콘크리트(주)파주공장,경기도 파주시 법원읍 화합로548번길 139,37.844763,126.928234
주식회사 세종레미콘,경기도 안성시 서운면 사갑1길 296-105,36.919122,127.241937
에스와이삼양레미콘 주식회사,경기도 남양주시 진접읍 양진로 920,37.701642,127.180685
태형기업(주),경기도 화성시 정남면 서봉로755번길 19,37.144344,126.955544
쌍용레미콘(주)평택사업소,경기도 평택시 오성면 청오로 251,37.027885,126.974155
삼화알엠씨(주),경기도 양주시 칠봉산로 370(봉양동),37.865151,127.071194
세진산업개발(주),경기도 광주시 직동로 19-12,37.395928,127.193993
국민레미콘(주),경기도 용인시 처인구 백암면 죽양대로 831,37.140903,127.392227
(주)부국레미콘 동부,경기도 광주시 순암로 216(중대동),37.398789,127.226934
(주)진영기업,경기도 안양시 동안구 귀인로 18,37.385289,126.943071
(주)경기레미콘,경기도 이천시 대월면 초지리 507-2,37.218311,127.50205
아주산업(주)상암공장,경기도 고양시 덕양구 흥도로 111(도내동),37.616706,126.862826
유진기업(주)안산,경기도 안산시  상록구 반월천북길 188(팔곡일동),37.31613,126.889049
(주)세종산업,경기도 여주시 흥천면 효자로 257,37.337437,127.530935
한일산업(주)김포공장,경기도 김포시 대곶면 대명항로 588-40,37.647228,126.557937
한라엔컴(ENCOM)(주)용인사업소,경기도 용인시 처인구 이동읍 묘봉로 82-4,37.124404,127.220437
천지산업개발(주),경기도 광주시 초월읍 산수로 311-34,37.391679,127.311399
주식회사 에스피레미콘,경기도 광주시 경충대로 2120,37.408426,127.207964
주식회사 삼호,경기도 연천군 전곡읍 양연로402번길 291(삼호레미콘),37.932698,127.011698
(주)다성레미콘 여주지점,경기도 여주시 흥천면 흥천로 308-85,37.332104,127.557627
(주)서해레미콘,경기도 안산시 단원구 섭수리길 73(대부남동),37.219833,126.562996
(주)태강레미콘,경상남도 창원시 마산합포구 진북면 농공단지로 60,35.144969,128.477512
(주)지강산업,경상남도 함안군 군북면 여명로 212-1,35.26876,128.324913
(주)한국그린팩토리,경상남도 사천시 곤명면 곤명1로 201-16,35.116386,127.94853
주식회사 태금레미콘,경상남도 김해시 상동면 동북로437번길 58-91,35.307593,128.959191
(주)성운알앤씨,경상남도 김해시 진영읍 본산로 60-60,35.310591,128.744515
주식회사 보림콘텍,경상남도 밀양시 초동면 초동농공단지길 12,35.423022,128.657244
(주)창원레미콘,경상남도 창원시 의창구 대산면 봉강가술로537번길 24,35.336921,128.703463
주식회사 선진,경상남도 함안군 칠북면 덕남길 36-4,35.35339,128.518562
주식회사 삼보,경상남도 의령군 직금로 271-16,35.461294,128.308107
항도렉스콘(주),경상남도 양산시 상북면 충렬로 485,35.384668,129.045849
